Event,Date,Status,Tickets Sold,Tickets Available
Kyle Lucey @ Backroom Comedy Club,Repeating Event,Past,0,55
Michael Moses @ Backroom Comedy Club,Repeating Event,Past,0,55
Chris Robinson @ Backroom Comedy Club,Repeating Event,Past,0,55
Dom Pare @ Backroom Comedy Club | One Night Only,Repeating Event,Past,0,55
Jordan Policicchio @ Backroom Comedy Club | One Night Only!,Repeating Event,Past,0,55
AJ Bate @ Backroom Comedy Club | One Show Only!,"Friday, 21 June 2024 8:00 PM",Past,2,53
Pop up Show Alert! Heavvy Sets with Jeff Danson,"Thursday, 27 June 2024 8:00 PM",Past,2,53
Can-Am Comedy w/ Patrick Fishman &amp; Jonny Stein,"Friday, 28 June 2024 10:00 PM",Past,2,53
Mike Rita @ Backroom Comedy Club,Repeating Event,Past,0,55
Jeff Dye @ Backroom Comedy Club,Repeating Event,Past,0,55
Shafi Hossain @ Backroom Comedy Club,Repeating Event,Past,0,55
Torio Van Grol @ Backroom Comedy Club,Repeating Event,Past,0,55
The Secret Show @ Backroom (Pay What You Want),Repeating Event,Past,0,55
Jamie Wolf live @ Backroom Comedy Club,Repeating Event,Past,0,55
Jess Rosenberg @ Backroom Comedy Club,"Friday, 25 October 2024 8:00 PM",Past,55,0
The Dry Show,"Thursday, 14 November 2024 8:00 PM",Past,7,48
Brad Gosse live @ Backroom Comedy Club | Comedy show 1 Night ONLY,"Friday, 29 November 2024 8:00 PM",Past,32,23
Matt Wright live in Toronto | Comedy Night - 1 Night Only!,Repeating Event,Past,0,55
Bryan O'Gorman @ Backroom Comedy Club | One Night Only!,"Friday, 13 December 2024 8:00 PM",Past,55,0
Mike Rita &amp; Cipha Sounds @ Backroom Comedy Club | One Show Only!,"Thursday, 19 December 2024 8:00 PM",Past,55,0
2nd Annual Christmas at Backroom Comedy Club,Repeating Event,Past,0,55
New Years Eve @ Backroom Comedy Club,Repeating Event,Past,0,55
Reg Thomas @ Backroom Comedy Club | Limited edition comedy shows,Repeating Event,Past,0,55
Mike Glazer live @ Backroom Comedy Club | Limited Run!,Repeating Event,Past,0,55
Gavin Coscarella @ Backroom Comedy Club | Comedy Album Run Through,"Friday, 24 January 2025 8:00 PM",Past,3,52
Tommy Brennan live in Toronto | Limited Run @ Backroom Comedy Club,Repeating Event,Past,0,55
Abbas Wahab @ Backroom Comedy Club | One Night Only,"Thursday, 6 February 2025 8:00 PM",Past,36,19
Andrew Orolfo @ Backroom Comedy Club,Repeating Event,Past,0,55
"Backroom Comedy Club - Turns 3,  Anniversary Shows! Showcasing Bubbies Boys",Repeating Event,Past,0,55
